Provincia,Tipo Istituto,Codice Principale,Denominazione Principale,Indirizzo,CAP,Comune,Distretto,E-mail,Telefono,Codice Fiscale,Codice,Denominazione,All Students,School Type,Full Address,Latitude,Longitude
Agrigento,ISTITUTO SUPERIORE,AGIS00100X,IIS - UGO FOSCOLO,"VIA PIRANDELLO, 6",92024,CANICATTI',7,AGIS00100X@istruzione.it,922851006,82002070843,AGPC001017,UGO FOSCOLO,295,SEC II,"VIA PIRANDELLO 6, 92024, CANICATTI'",37.3545683,13.8420672
Agrigento,ISTITUTO SUPERIORE,AGIS00100X,IIS - UGO FOSCOLO,"VIA PIRANDELLO, 6",92024,CANICATTI',7,AGIS00100X@istruzione.it,922851006,82002070843,AGPS00101A,A. SCIASCIA,855,SEC II,"VIA PASOLINI, 92024, CANICATTI'",37.3504756,13.840325
Agrigento,ISTITUTO SUPERIORE,AGIS00800P,IIS - TOMMASO FAZELLO,VIA ALCIDE DE GASPERI 10,92019,SCIACCA,1,AGIS00800P@istruzione.it,92521642,83001350848,AGPC008012,TOMMASO FAZELLO,462,SEC II,"VIA ALCIDE DE GASPERI 10, 92019, SCIACCA",37.5155462,13.0799277
Agrigento,ISTITUTO SUPERIORE,AGIS00800P,IIS - TOMMASO FAZELLO,VIA ALCIDE DE GASPERI 10,92019,SCIACCA,1,AGIS00800P@istruzione.it,92521642,83001350848,AGPS008015,ARCHIMEDE,102,SEC II,"VIA MAZZINI 1, 92013, MENFI",37.5981999,12.9665257
Agrigento,ISTITUTO SUPERIORE,AGIS00800P,IIS - TOMMASO FAZELLO,VIA ALCIDE DE GASPERI 10,92019,SCIACCA,1,AGIS00800P@istruzione.it,92521642,83001350848,AGSD00801G,IA GIUSEPPE BONACHIA,201,SEC II,"VIA A.DE GASPERI 14, 92019, SCIACCA",37.5145265,13.0798892
Agrigento,LICEO CLASSICO,AGPC010001,LICEO CLASSICO - EMPEDOCLE,VIA EMPEDOCLE 169,92100,AGRIGENTO,5,AGPC010001@istruzione.it,92220335,80005110848,AGPC010001,LICEO CLASSICO - EMPEDOCLE,865,SEC II,"VIA EMPEDOCLE 169, 92100, AGRIGENTO",37.3097212,13.5832675
Agrigento,ISTITUTO SUPERIORE,AGIS01700D,IIS - LUIGI PIRANDELLO,CONTRADA PARATORE N. 135,92010,BIVONA,3,AGIS01700D@istruzione.it,922983223,80005230844,AGPC01701R,LICEO LUIGI PIRANDELLO,277,SEC II,"CONTRADA PARATORE N. 135, 92010, BIVONA",37.6223224,13.440078
Agrigento,ISTITUTO SUPERIORE,AGIS01700D,IIS - LUIGI PIRANDELLO,CONTRADA PARATORE N. 135,92010,BIVONA,3,AGIS01700D@istruzione.it,922983223,80005230844,AGPM01752B,M. T. DI CALCUTTA - (CORSO SERALE),0,SEC II,"VIA DE GASPERI, 92020, SANTO STEFANO QUISQUINA",37.6272249,13.4895204
Agrigento,ISTITUTO SUPERIORE,AGIS01700D,IIS - LUIGI PIRANDELLO,CONTRADA PARATORE N. 135,92010,BIVONA,3,AGIS01700D@istruzione.it,922983223,80005230844,AGRI017015,ISTITUTO PROFESSIONALE LUIGI PIRANDELLO,183,SEC II,"C.DA SANTA FILOMENA SNC, 92010, BIVONA",37.6153136,13.4352094
Agrigento,ISTITUTO SUPERIORE,AGIS01700D,IIS - LUIGI PIRANDELLO,CONTRADA PARATORE N. 135,92010,BIVONA,3,AGIS01700D@istruzione.it,922983223,80005230844,AGRI01750D,ARCHIMEDE,87,SEC II,"CONTRADA PARATORE N.135, 92012, BIVONA",37.6256496,13.4434873
